state,year,month,medium,political_lean,diet_threshold,partisanship_scenario,age_group,value
AK,2015,1,tv,L,50,lenient,under 18,9.8
AK,2015,2,tv,L,50,lenient,under 18,19.8
AK,2015,3,tv,L,50,lenient,under 18,29.8
AK,2015,4,tv,L,50,lenient,under 18,39.8
AK,2015,1,tv,R,50,lenient,under 18,4.8
AK,2015,2,tv,R,50,lenient,under 18,9.8
AK,2015,3,tv,R,50,lenient,under 18,14.8
AK,2015,4,tv,R,50,lenient,under 18,19.8
AK,2015,1,online,L,50,lenient,under 18,1.8
AK,2015,2,online,L,50,lenient,under 18,3.8
AK,2015,3,online,L,50,lenient,under 18,5.8
AK,2015,4,online,L,50,lenient,under 18,7.8
AK,2015,1,online,R,50,lenient,under 18,0.8
AK,2015,2,online,R,50,lenient,under 18,1.8
AK,2015,3,online,R,50,lenient,under 18,2.8
AK,2015,4,online,R,50,lenient,under 18,3.8
AK,2015,1,tv,L,50,strict,under 18,9.4
AK,2015,2,tv,L,50,strict,under 18,19.4
AK,2015,3,tv,L,50,strict,under 18,29.4
AK,2015,4,tv,L,50,strict,under 18,39.4
AK,2015,1,tv,R,50,strict,under 18,4.4
AK,2015,2,tv,R,50,strict,under 18,9.4
AK,2015,3,tv,R,50,strict,under 18,14.4
AK,2015,4,tv,R,50,strict,under 18,19.4
AK,2015,1,online,L,50,strict,under 18,1.4
AK,2015,2,online,L,50,strict,under 18,3.4
AK,2015,3,online,L,50,strict,under 18,5.4
AK,2015,4,online,L,50,strict,under 18,7.4
AK,2015,1,online,R,50,strict,under 18,0.4
AK,2015,2,online,R,50,strict,under 18,1.4
AK,2015,3,online,R,50,strict,under 18,2.4
AK,2015,4,online,R,50,strict,under 18,3.4
AK,2015,1,tv,L,75,lenient,under 18,6.8
AK,2015,2,tv,L,75,lenient,under 18,16.8
AK,2015,3,tv,L,75,lenient,under 18,26.8
AK,2015,4,tv,L,75,lenient,under 18,36.8
AK,2015,1,tv,R,75,lenient,under 18,1.8
AK,2015,2,tv,R,75,lenient,under 18,6.8
AK,2015,3,tv,R,75,lenient,under 18,11.8
AK,2015,4,tv,R,75,lenient,under 18,16.8
AK,2015,1,online,L,75,lenient,under 18,0.8
AK,2015,2,online,L,75,lenient,under 18,2.8
AK,2015,3,online,L,75,lenient,under 18,4.8
AK,2015,4,online,L,75,lenient,under 18,6.8
AK,2015,1,online,R,75,lenient,under 18,0.3
AK,2015,2,online,R,75,lenient,under 18,0.8
AK,2015,3,online,R,75,lenient,under 18,1.8
AK,2015,4,online,R,75,lenient,under 18,2.8
AK,2015,1,tv,L,75,strict,under 18,6.4
AK,2015,2,tv,L,75,strict,under 18,16.4
AK,2015,3,tv,L,75,strict,under 18,26.4
AK,2015,4,tv,L,75,strict,under 18,36.4
AK,2015,1,tv,R,75,strict,under 18,1.4
AK,2015,2,tv,R,75,strict,under 18,6.4
AK,2015,3,tv,R,75,strict,under 18,11.4
AK,2015,4,tv,R,75,strict,under 18,16.4
AK,2015,1,online,L,75,strict,under 18,0.4
AK,2015,2,online,L,75,strict,under 18,2.4
AK,2015,3,online,L,75,strict,under 18,4.4
AK,2015,4,online,L,75,strict,under 18,6.4
AK,2015,1,online,R,75,strict,under 18,0
AK,2015,2,online,R,75,strict,under 18,0.4
AK,2015,3,online,R,75,strict,under 18,1.4
AK,2015,4,online,R,75,strict,under 18,2.4
AL,2015,1,tv,L,50,lenient,under 18,10
AL,2015,2,tv,L,50,lenient,under 18,20
AL,2015,3,tv,L,50,lenient,under 18,30
AL,2015,4,tv,L,50,lenient,under 18,40
AL,2015,1,tv,R,50,lenient,under 18,5
AL,2015,2,tv,R,50,lenient,under 18,10
AL,2015,3,tv,R,50,lenient,under 18,15
AL,2015,4,tv,R,50,lenient,under 18,20
AL,2015,1,online,L,50,lenient,under 18,2
AL,2015,2,online,L,50,lenient,under 18,4
AL,2015,3,online,L,50,lenient,under 18,6
AL,2015,4,online,L,50,lenient,under 18,8
AL,2015,1,online,R,50,lenient,under 18,1
AL,2015,2,online,R,50,lenient,under 18,2
AL,2015,3,online,R,50,lenient,under 18,3
AL,2015,4,online,R,50,lenient,under 18,4
AL,2015,1,tv,L,50,strict,under 18,9.6
AL,2015,2,tv,L,50,strict,under 18,19.6
AL,2015,3,tv,L,50,strict,under 18,29.6
AL,2015,4,tv,L,50,strict,under 18,39.6
AL,2015,1,tv,R,50,strict,under 18,4.6
AL,2015,2,tv,R,50,strict,under 18,9.6
AL,2015,3,tv,R,50,strict,under 18,14.6
AL,2015,4,tv,R,50,strict,under 18,19.6
AL,2015,1,online,L,50,strict,under 18,1.6
AL,2015,2,online,L,50,strict,under 18,3.6
AL,2015,3,online,L,50,strict,under 18,5.6
AL,2015,4,online,L,50,strict,under 18,7.6
AL,2015,1,online,R,50,strict,under 18,0.6
AL,2015,2,online,R,50,strict,under 18,1.6
AL,2015,3,online,R,50,strict,under 18,2.6
AL,2015,4,online,R,50,strict,under 18,3.6
AL,2015,1,tv,L,75,lenient,under 18,7
AL,2015,2,tv,L,75,lenient,under 18,17
AL,2015,3,tv,L,75,lenient,under 18,27
AL,2015,4,tv,L,75,lenient,under 18,37
AL,2015,1,tv,R,75,lenient,under 18,2
AL,2015,2,tv,R,75,lenient,under 18,7
AL,2015,3,tv,R,75,lenient,under 18,12
AL,2015,4,tv,R,75,lenient,under 18,17
AL,2015,1,online,L,75,lenient,under 18,1
AL,2015,2,online,L,75,lenient,under 18,3
AL,2015,3,online,L,75,lenient,under 18,5
AL,2015,4,online,L,75,lenient,under 18,7
AL,2015,1,online,R,75,lenient,under 18,0.5
AL,2015,2,online,R,75,lenient,under 18,1
AL,2015,3,online,R,75,lenient,under 18,2
AL,2015,4,online,R,75,lenient,under 18,3
AL,2015,1,tv,L,75,strict,under 18,6.6
AL,2015,2,tv,L,75,strict,under 18,16.6
AL,2015,3,tv,L,75,strict,under 18,26.6
AL,2015,4,tv,L,75,strict,under 18,36.6
AL,2015,1,tv,R,75,strict,under 18,1.6
AL,2015,2,tv,R,75,strict,under 18,6.6
AL,2015,3,tv,R,75,strict,under 18,11.6
AL,2015,4,tv,R,75,strict,under 18,16.6
AL,2015,1,online,L,75,strict,under 18,0.6
AL,2015,2,online,L,75,strict,under 18,2.6
AL,2015,3,online,L,75,strict,under 18,4.6
AL,2015,4,online,L,75,strict,under 18,6.6
AL,2015,1,online,R,75,strict,under 18,0.1
AL,2015,2,online,R,75,strict,under 18,0.6
AL,2015,3,online,R,75,strict,under 18,1.6
AL,2015,4,online,R,75,strict,under 18,2.6
AR,2015,1,tv,L,50,lenient,under 18,9.8
AR,2015,2,tv,L,50,lenient,under 18,19.8
AR,2015,3,tv,L,50,lenient,under 18,29.8
AR,2015,4,tv,L,50,lenient,under 18,39.8
AR,2015,1,tv,R,50,lenient,under 18,4.8
AR,2015,2,tv,R,50,lenient,under 18,9.8
AR,2015,3,tv,R,50,lenient,under 18,14.8
AR,2015,4,tv,R,50,lenient,under 18,19.8
AR,2015,1,online,L,50,lenient,under 18,1.8
AR,2015,2,online,L,50,lenient,under 18,3.8
AR,2015,3,online,L,50,lenient,under 18,5.8
AR,2015,4,online,L,50,lenient,under 18,7.8
AR,2015,1,online,R,50,lenient,under 18,0.8
AR,2015,2,online,R,50,lenient,under 18,1.8
AR,2015,3,online,R,50,lenient,under 18,2.8
AR,2015,4,online,R,50,lenient,under 18,3.8
AR,2015,1,tv,L,50,strict,under 18,9.4
AR,2015,2,tv,L,50,strict,under 18,19.4
AR,2015,3,tv,L,50,strict,under 18,29.4
AR,2015,4,tv,L,50,strict,under 18,39.4
AR,2015,1,tv,R,50,strict,under 18,4.4
AR,2015,2,tv,R,50,strict,under 18,9.4
AR,2015,3,tv,R,50,strict,under 18,14.4
AR,2015,4,tv,R,50,strict,under 18,19.4
AR,2015,1,online,L,50,strict,under 18,1.4
AR,2015,2,online,L,50,strict,under 18,3.4
AR,2015,3,online,L,50,strict,under 18,5.4
AR,2015,4,online,L,50,strict,under 18,7.4
AR,2015,1,online,R,50,strict,under 18,0.4
AR,2015,2,online,R,50,strict,under 18,1.4
AR,2015,3,online,R,50,strict,under 18,2.4
AR,2015,4,online,R,50,strict,under 18,3.4
AR,2015,1,tv,L,75,lenient,under 18,6.8
AR,2015,2,tv,L,75,lenient,under 18,16.8
AR,2015,3,tv,L,75,lenient,under 18,26.8
AR,2015,4,tv,L,75,lenient,under 18,36.8
AR,2015,1,tv,R,75,lenient,under 18,1.8
